dataset_id,class_raw,path,format,width,height,mode,error,min_side,label,sha256,group,split
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(21).jpg,JPEG,544,564,RGB,,544,glioma,9240553fcd8fe826ed548984db69d2d0178a14adb7aba345b6e7ba539e15d71f,image(21),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(23).jpg,JPEG,200,234,RGB,,200,glioma,87d1bdfc11bba2766713e757c711cb8401e1e7d0943e29b9b0146e66ed10463b,image(23),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(24).jpg,JPEG,355,399,RGB,,355,glioma,47ea3c97dfc5425a3d95305c48a794b7d3aafe82b4dba9f2db698d2840fa3bf2,image(24),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(25).jpg,JPEG,541,477,RGB,,477,glioma,05d9770d85b24d6e950c49f0ece27798b336232538186efc84ac0e86f79c99b1,image(25),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(27).jpg,JPEG,554,554,RGB,,554,glioma,1ce27ccb88e8779f13fe8209fe3a50d4310a1474e1c55438cd306cf2664c9de0,image(27),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(28).jpg,JPEG,319,360,RGB,,319,glioma,cd0ed664951fcfd1ac7657a788f912f298b005d4cd99303da31c8399363c58cc,image(28),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(30).jpg,JPEG,200,249,RGB,,200,glioma,917cadd5aad4a8288a4f759d4f4a261e66c3187dbace1293b76aa8434b691b37,image(30),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(32).jpg,JPEG,379,379,RGB,,379,glioma,8bb6bf50c21a17478fbd81c5c9f10abcb56bf38b046496b645f2f64cd77cbc06,image(32),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(34).jpg,JPEG,338,411,RGB,,338,glioma,5ed1667becd2b8f8dee86f367cc33d7f56d13547730e3cdf9f93d09752de5b00,image(34),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(35).jpg,JPEG,305,325,RGB,,305,glioma,70fe309c3f09b1ea602d976ccc97e15bb11165b02cc2f75adf28eeaaf9906c1c,image(35),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(36).jpg,JPEG,565,513,RGB,,513,glioma,05582a244b78e3ffac393d7065d5c964376667edfae1a8379a80f315163b9313,image(36),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(37).jpg,JPEG,440,398,RGB,,398,glioma,ea44445f6ad0d45fd9abeaeb8b130a544023379324db616cd75806e07868ea81,image(37),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(39).jpg,JPEG,339,406,RGB,,339,glioma,4813552c8ef708ff035ae325cc5c6086e3f33275677e785d7d66c6f36e94b63a,image(39),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(4).jpg,JPEG,425,349,RGB,,349,glioma,2b8e8a4692e924d20e9ea9b8647ddfa8d436b5e8a37c21b17ad2b218d10b4749,image(4),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(40).jpg,JPEG,353,427,RGB,,353,glioma,0e309a1995b55b6ff81ecef631e11d6c21d43fbc95606126053bde9941f49c19,image(40),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(42).jpg,JPEG,572,536,RGB,,536,glioma,d2e94f32c7a3f6fdaa9ed5d6c362289eedf93e06d2683d8324cdf7732ada7351,image(42),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(44).jpg,JPEG,282,257,RGB,,257,glioma,23eb04452f51e3a39ab0c2535b44ae731f8dc6c48c3d32a4988b7e5c1d4f37df,image(44),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(45).jpg,JPEG,384,382,RGB,,382,glioma,fc76d3ff73ce4cc5e59efce516caaee396bd4b9caae6f0bf092f1e996b35123e,image(45),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(47).jpg,JPEG,526,583,RGB,,526,glioma,850000e1a1400b18c1988d6538c1a092b37f32e498c68d65f5b4e7b30f7c5b05,image(47),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(49).jpg,JPEG,236,236,RGB,,236,glioma,d1edf0a4de17ef2c9acaa591a7fa8ced3f7ecc801d970c523b4dd3c5aeb16353,image(49),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(5).jpg,JPEG,401,475,RGB,,401,glioma,b473e9fe6e1899963ce3885e3b56dc085d1b8afddedc48391fa8101c173823b8,image(5),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(51).jpg,JPEG,233,233,RGB,,233,glioma,6369ffc236fd7a7538ff1eda464f639e228b957b843d08bd4dea34b204828258,image(51),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(53).jpg,JPEG,236,236,RGB,,236,glioma,0e7e6b10c83d515d121d485c70b399d1d9e9d6cf527d3a17b924e5346d754540,image(53),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(54).jpg,JPEG,236,236,RGB,,236,glioma,166d8d50958b2c27dc5028afdc2439f556d278cced5e9e648e03b72553b62ec0,image(54),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(56).jpg,JPEG,197,229,RGB,,197,glioma,984c97dce09de4582cf1802f4c4870be49e8f2d6704b4ef8c44c8706dacd7da5,image(56),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(57).jpg,JPEG,236,236,RGB,,236,glioma,489c95686a18e673035cd34d473d260f29006dd7995d6920535a18d88c36ee3f,image(57),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(60).jpg,JPEG,512,512,RGB,,512,glioma,75da6e920cf8e1f62065f9aed23c61b109e042bfbb459c665ff7ecd68a108723,image(60),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(62).jpg,JPEG,512,512,RGB,,512,glioma,2afac6596bc88b3cabae7c0b66e51b100d44f40dfd270ae724d7dd2298597e2b,image(62),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(63).jpg,JPEG,512,512,RGB,,512,glioma,213f8ac1606f7b3a09378a93ea1213fbf84f7bf2dbd3eac30777979c2c429da1,image(63),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(64).jpg,JPEG,512,512,RGB,,512,glioma,c2bd43b2b8cdb63dc5b6d86fa972dbc4d8395278a5e7fac7f1c972f01921a206,image(64),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(66).jpg,JPEG,512,512,RGB,,512,glioma,b054e1575bd5254d904f86d413f93f7ede36b16f01ce8119e060b6f707c6871f,image(66),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(67).jpg,JPEG,512,512,RGB,,512,glioma,03e15b15152fae95316997f60d41be43e56c0bfefdb52df09364f91ba45a7843,image(67),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(68).jpg,JPEG,512,512,RGB,,512,glioma,039687b8d459da27d82239679a8b862b07f90393adc5bd0f511a38a0b7baa04f,image(68),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(7).jpg,JPEG,394,368,RGB,,368,glioma,42f3fe6596e8bed9d7726b2d2ee66763b83698707d8b7ae1d811d385d3b50148,image(7),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(70).jpg,JPEG,512,512,RGB,,512,glioma,8872585c004347ea73fad063e407998e62786cc8d7a0938ad85792f19a55eb0a,image(70),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(72).jpg,JPEG,512,512,RGB,,512,glioma,dfe3ba072de070d1d78c367f8facb4680032ff69735adda54f57511090770be2,image(72),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(74).jpg,JPEG,512,512,RGB,,512,glioma,0015ffeb866e7285f86ecf216eb0040043a5bdacebc9b918e4c0707301ed9f7d,image(74),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(75).jpg,JPEG,512,512,RGB,,512,glioma,b10e1f39bfe566a4a856d4e3f835c8018c22c4353e3e69905ec8e420be99bfff,image(75),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(76).jpg,JPEG,512,512,RGB,,512,glioma,796bef7680705337015eacd348cb4a83c1b898ca01f14f7c6e24934e1e1e7847,image(76),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(77).jpg,JPEG,310,380,RGB,,310,glioma,177abe5e79819aaca240e172e350d26a7b6e4d12c1c4c9f5a16c6cbb2e2a650d,image(77),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(78).jpg,JPEG,485,594,RGB,,485,glioma,38f503c8ec310ca7861d490a609e02d4851144a5db76d37ade47c32cc1a120fd,image(78),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(8).jpg,JPEG,388,453,RGB,,388,glioma,542569de692ce16c2649fe6adee05d1f92757b61835e017ae47e8ac8232f8cbf,image(8),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(81).jpg,JPEG,354,442,RGB,,354,glioma,a629aadd24c31daa08d9e79dce6c1dfcfa77ac95775b4683ec29663c61cbf9dd,image(81),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(85).jpg,JPEG,204,245,RGB,,204,glioma,68ad50d3393ec4fcea1562cb3b586a4313b88d64f7498c4a38aa3255cfe2322d,image(85),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(86).jpg,JPEG,326,405,RGB,,326,glioma,d8481f5474b13a727f6443dd1335cd9bb7d9875b6b40d07c6690ad2587800bb4,image(86),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(87).jpg,JPEG,331,392,RGB,,331,glioma,44616ce74efefe7cb85b52b925859a0ac00422546acc6706e6177609a5a018c0,image(87),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(88).jpg,JPEG,640,480,RGB,,480,glioma,d52c78378cafd933985f96a0dec2f6ed04030369c84ef682500a782605fac594,image(88),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(89).jpg,JPEG,317,378,RGB,,317,glioma,2aa52d4fe80cc67e7240c5f1efabbe1205cd26c8459becfb15dcbbffb876d0f6,image(89),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(9).jpg,JPEG,383,407,RGB,,383,glioma,54b7260f61700a2df4e28edb56447fb7ab5bf6d30521076aca81e73e85f4fa38,image(9),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(91).jpg,JPEG,531,577,RGB,,531,glioma,febc92f7a96b8aa66751a0c737d2c74ce2384058a68f3278ed926b8692b42d04,image(91),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(92).jpg,JPEG,546,562,RGB,,546,glioma,c286938cf23a39ed9c8961a8f56611aa0b52439bf398d1dae781a1cf2671bd98,image(92),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(93).jpg,JPEG,249,238,RGB,,238,glioma,04aa41d8514362877d7f8fd81e543bc8584e4a6ba1ac025c2f37515f32abd9b0,image(93),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(98).jpg,JPEG,510,602,RGB,,510,glioma,75a94d8802948910edc24b520257853ad379e8be91af1393bd6b5092b23e05b1,image(98),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(1).jpg,JPEG,440,278,RGB,,278,meningioma,32e58268a4a9d3f82caec378c1065311360f4212c2ab72a1ca6f1ef8ffcca92b,image(1),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(100).jpg,JPEG,228,221,RGB,,221,meningioma,ab6340a63c76fe15809d9989b432bb6520301573452d9efed240c9e211e100f9,image(100),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(102).jpg,JPEG,212,237,RGB,,212,meningioma,bbc7b2a45a317370ec1115cf902927adfcb71d569c1cf413fc4d1fd68fcdb763,image(102),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(106).jpg,JPEG,528,581,RGB,,528,meningioma,287e57e51279330fe35b02999f3e99c4a8d71a2982384edeb6dc21e65e69c853,image(106),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(107).jpg,JPEG,295,394,RGB,,295,meningioma,c0ad227c9b3d1537b9264900413e3fe0a3ffdcded65a531450f1ba895ae1f8e2,image(107),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(11).jpg,JPEG,262,308,RGB,,262,meningioma,10349e0d5645628fe11b685fdb2396ebb7100a8257cd5d8f1e488bb8d92c131b,image(11),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(112).jpg,JPEG,206,249,RGB,,206,meningioma,75de2e313a9570e899b592d69c150554c350699b058d3410e2eea78c6db8dc9a,image(112),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(113).jpg,JPEG,530,526,RGB,,526,meningioma,efbb74c524ab95fae4c5ff626880c4a7f23d066111ff682ae04c32b5c422af13,image(113),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(118).jpg,JPEG,455,500,RGB,,455,meningioma,86847c6a4729a4b19bf1b3f58905c68812c6f75ea680c0ccb1621b94e165d16f,image(118),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(12).jpg,JPEG,200,223,RGB,,200,meningioma,0b2a2b578be6b8a5a897047a580f4c331a4ce7999585866bb41e22e46c536cd2,image(12),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(120).jpg,JPEG,472,546,RGB,,472,meningioma,41bc0c7b4079d2fa8df7b97827a1d9fae68706e6c6457f43186d583da94c6df2,image(120),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(121).jpg,JPEG,441,427,RGB,,427,meningioma,80954652d15d172bfeddcc5cfbfef504b221e9c5378bbb195a06b2b6c486ce3f,image(121),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(123).jpg,JPEG,540,568,RGB,,540,meningioma,d67f68d2257405011a6a15401261406f7cbf7449bf0112491c14ceef50fcd73f,image(123),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(126).jpg,JPEG,591,650,RGB,,591,meningioma,d122fa995de9d5266344d97c7e2d6973210911f4c8e549575c873b82aee3ae2a,image(126),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(127).jpg,JPEG,534,674,RGB,,534,meningioma,5bf68ff9f2e5036539b29f1b87ef5df6f1314ab89ae7fe6d180efaec6394bd5e,image(127),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(13).jpg,JPEG,300,345,RGB,,300,meningioma,6f41b1588a32f33ec72b5d3a277d2a84a3bbc7b030b50dd54b3733f75653e926,image(13),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(14).jpg,JPEG,306,306,RGB,,306,meningioma,ea3bd80a786c4d44d3ed6c16fdcfd829fa7045d0227c623dc3ee1ef86f7adb39,image(14),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(17).jpg,JPEG,291,340,RGB,,291,meningioma,3b2ba8de971d62969e17bbb638dd8ab6ae3d3aa87edacaf28918e9ce8eb95dd9,image(17),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(18).jpg,JPEG,630,423,RGB,,423,meningioma,9dcd34c5328623dc7c0f06cbb7598017efbb3b6b59d3a70c099343922290de99,image(18),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(19).jpg,JPEG,318,354,RGB,,318,meningioma,bb916ba7fe525b5ba8f325bdfb2941bbb9119c84f0ae3662a59bcd342679cfe8,image(19),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(2).jpg,JPEG,554,554,RGB,,554,meningioma,b8a42737f41cb71d02cc8f6ea840c15f91ec938639d089be773149eb7cd878a6,image(2),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(20).jpg,JPEG,315,341,RGB,,315,meningioma,49938c1a7f37ea232898c06615f57fef3e9a8a464c93a20206394a1aa2360e46,image(20),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(21).jpg,JPEG,286,356,RGB,,286,meningioma,deb3cf8255416bd3f24f48f7159965f9e48b5b346e5b22a41b11f8a7f22edec7,image(21),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(23).jpg,JPEG,252,303,RGB,,252,meningioma,8288cd2152fc6daeaf7da557eca1d0f2e9e72367ee10b4c5e09248597637e82a,image(23),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(25).jpg,JPEG,442,442,RGB,,442,meningioma,b31d723ab6491c8da12fddc8b756b398e5f35cf08f063f092b1a8c7cbc2d78c3,image(25),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(27).jpg,JPEG,312,401,RGB,,312,meningioma,4b341616b6b9a8c0060988aa8174ee101aca4f96ae8007a2df0137ff2c33d5dd,image(27),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(28).jpg,JPEG,300,412,RGB,,300,meningioma,4cc66638107c582da061fb013badc87dfb5dbdb94deee50550a5df8b967d9947,image(28),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(29).jpg,JPEG,205,251,RGB,,205,meningioma,87886ae7a7ec7535a975fa0b267d5889a995699a4fd5d7672f5a7346659dff38,image(29),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(30).jpg,JPEG,204,249,RGB,,204,meningioma,cdc4d724a668388abc3657213ea91c3e8d849b2c7e155dc4676ca38a4396b618,image(30),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(32).jpg,JPEG,323,342,RGB,,323,meningioma,935ba7f0696adb99b0bc47bd75e6ae0ae86426d1fb6922dac8b9569ddaea8a16,image(32),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(34).jpg,JPEG,366,395,RGB,,366,meningioma,5c6da12069abad1ea0d958b7cbeec5b4ebed459dc9b1f2177246cc4e597b0b4b,image(34),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(35).jpg,JPEG,416,395,RGB,,395,meningioma,64d6885599aa04ff6a12e8f961437ba39c355f66f67beac2992daedcf2f6e20e,image(35),train
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(36).jpg,JPEG,256,256,RGB,,256,meningioma,2c9f7f2d80eac2f53f5a58d8a45f5e29aa942b5f9899dffa56592aeec66c3975,image(36),train
