dataset_id,class_raw,path,format,width,height,mode,error
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(23).jpg,JPEG,200,234,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(24).jpg,JPEG,355,399,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(25).jpg,JPEG,541,477,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(26).jpg,JPEG,620,415,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(27).jpg,JPEG,554,554,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(28).jpg,JPEG,319,360,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(29).jpg,JPEG,319,360,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(3).jpg,JPEG,256,256,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(30).jpg,JPEG,200,249,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(31).jpg,JPEG,442,426,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(32).jpg,JPEG,379,379,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(33).jpg,JPEG,337,412,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(34).jpg,JPEG,338,411,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(35).jpg,JPEG,305,325,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(36).jpg,JPEG,565,513,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(37).jpg,JPEG,440,398,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(38).jpg,JPEG,334,407,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(39).jpg,JPEG,339,406,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(4).jpg,JPEG,425,349,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(40).jpg,JPEG,353,427,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(41).jpg,JPEG,373,378,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(42).jpg,JPEG,572,536,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(43).jpg,JPEG,554,554,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(44).jpg,JPEG,282,257,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(45).jpg,JPEG,384,382,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(46).jpg,JPEG,442,426,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(47).jpg,JPEG,526,583,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(48).jpg,JPEG,236,236,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(49).jpg,JPEG,236,236,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(5).jpg,JPEG,401,475,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(50).jpg,JPEG,236,298,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(51).jpg,JPEG,233,233,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(52).jpg,JPEG,564,665,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(53).jpg,JPEG,236,236,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(54).jpg,JPEG,236,236,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(55).jpg,JPEG,236,298,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(56).jpg,JPEG,197,229,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(57).jpg,JPEG,236,236,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(58).jpg,JPEG,224,225,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(59).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(6).jpg,JPEG,256,256,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(60).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(61).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(62).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(63).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(64).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(65).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(66).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(67).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(68).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(69).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(7).jpg,JPEG,394,368,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(70).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(71).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(72).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(73).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(74).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(75).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(76).jpg,JPEG,512,512,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(77).jpg,JPEG,310,380,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(78).jpg,JPEG,485,594,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(79).jpg,JPEG,319,360,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(8).jpg,JPEG,388,453,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(80).jpg,JPEG,310,380,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(81).jpg,JPEG,354,442,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(82).jpg,JPEG,504,608,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(83).jpg,JPEG,175,167,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(84).jpg,JPEG,200,249,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(85).jpg,JPEG,204,245,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(86).jpg,JPEG,326,405,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(87).jpg,JPEG,331,392,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(88).jpg,JPEG,640,480,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(89).jpg,JPEG,317,378,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(9).jpg,JPEG,383,407,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(90).jpg,JPEG,524,581,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(91).jpg,JPEG,531,577,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(92).jpg,JPEG,546,562,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(93).jpg,JPEG,249,238,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(94).jpg,JPEG,249,238,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(95).jpg,JPEG,544,564,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(97).jpg,JPEG,620,415,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(98).jpg,JPEG,510,602,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(99).jpg,JPEG,510,602,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image.jpg,JPEG,495,619,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(1).jpg,JPEG,440,278,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(10).jpg,JPEG,257,307,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(100).jpg,JPEG,228,221,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(102).jpg,JPEG,212,237,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(106).jpg,JPEG,528,581,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(107).jpg,JPEG,295,394,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(109).jpg,JPEG,219,234,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(11).jpg,JPEG,262,308,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(112).jpg,JPEG,206,249,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(113).jpg,JPEG,530,526,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(118).jpg,JPEG,455,500,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(12).jpg,JPEG,200,223,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(120).jpg,JPEG,472,546,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(121).jpg,JPEG,441,427,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(123).jpg,JPEG,540,568,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(124).jpg,JPEG,507,605,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(125).jpg,JPEG,290,339,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(126).jpg,JPEG,591,650,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(127).jpg,JPEG,534,674,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(13).jpg,JPEG,300,345,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(14).jpg,JPEG,306,306,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(15).jpg,JPEG,374,370,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(16).jpg,JPEG,201,207,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(17).jpg,JPEG,291,340,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(18).jpg,JPEG,630,423,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(19).jpg,JPEG,318,354,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(2).jpg,JPEG,554,554,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(20).jpg,JPEG,315,341,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(21).jpg,JPEG,286,356,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(22).jpg,JPEG,278,306,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(23).jpg,JPEG,252,303,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(24).jpg,JPEG,455,500,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(25).jpg,JPEG,442,442,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(26).jpg,JPEG,554,554,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(27).jpg,JPEG,312,401,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(28).jpg,JPEG,300,412,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(29).jpg,JPEG,205,251,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(3).jpg,JPEG,300,258,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(30).jpg,JPEG,204,249,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(31).jpg,JPEG,239,224,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(32).jpg,JPEG,323,342,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(33).jpg,JPEG,290,342,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(34).jpg,JPEG,366,395,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(35).jpg,JPEG,416,395,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(36).jpg,JPEG,256,256,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(37).jpg,JPEG,402,396,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(38).jpg,JPEG,369,395,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(39).jpg,JPEG,343,367,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(4).jpg,JPEG,369,398,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(40).jpg,JPEG,313,393,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(41).jpg,JPEG,442,442,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(42).jpg,JPEG,330,355,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(43).jpg,JPEG,442,442,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(44).jpg,JPEG,442,442,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(45).jpg,JPEG,367,395,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(46).jpg,JPEG,411,396,RGB,
dataset1,meningioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\meningioma_tumor\image(47).jpg,JPEG,234,216,RGB,
